Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,Actual_rdr_deg,Set_rdr_deg,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir
2025-11-08T03:17:14.279322,5.143,,,,,,,,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,,
2025-11-08T03:17:14.683640,5.547,20.14,571.46,20.31,3.24,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:15.258402,6.122,20.14,571.46,20.31,3.24,3.22,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,299.0
2025-11-08T03:17:15.722197,6.586,20.14,565.38,20.34,3.23,3.24,3.21,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,299.0
2025-11-08T03:17:16.009316,6.873,20.1,508.41,20.34,3.23,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,139.0
2025-11-08T03:17:16.320713,7.184,20.14,565.38,20.31,3.24,3.23,3.22,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:16.689809,7.553,20.12,508.41,20.31,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:16.987484,7.851,19.8,565.38,20.31,3.24,3.23,3.22,3.28,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:17.285489,8.149,20.12,508.41,20.36,3.23,3.23,3.26,3.23,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,299.0
2025-11-08T03:17:17.591135,8.455,20.16,565.38,20.34,3.23,3.24,3.22,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:17.886210,8.750,20.14,571.46,20.34,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:18.189713,9.053,20.16,575.21,20.36,3.24,3.22,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:18.454822,9.318,20.16,565.38,20.34,3.24,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:18.719090,9.582,20.12,565.38,20.34,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:18.982953,9.846,20.16,571.46,20.36,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:19.251452,10.115,20.14,508.41,20.31,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:19.529927,10.393,20.08,565.38,20.34,3.24,3.22,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:19.808754,10.672,20.16,565.38,20.34,3.23,3.24,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:20.089642,10.953,20.16,565.38,20.38,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:20.363657,11.227,20.14,596.08,20.31,3.23,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:20.635680,11.499,20.16,565.38,20.34,3.24,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:20.907138,11.771,20.12,565.38,20.36,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:21.183132,12.047,20.12,508.41,20.34,3.24,3.22,3.24,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:21.467201,12.331,20.12,571.46,20.44,3.24,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:21.752923,12.616,20.14,565.38,20.31,3.24,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:22.037564,12.901,20.14,571.46,20.34,3.23,3.23,3.22,3.23,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:22.318399,13.182,20.12,565.38,20.34,3.24,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,47.0
2025-11-08T03:17:22.600451,13.464,20.14,508.41,20.38,3.23,3.24,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:22.882480,13.746,20.14,571.46,20.31,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:23.167776,14.031,20.14,565.38,20.34,3.23,3.24,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,47.0
2025-11-08T03:17:23.461896,14.325,20.19,565.38,20.38,3.24,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:23.754314,14.618,20.12,571.46,20.34,3.24,3.21,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:24.051107,14.915,20.14,508.41,20.31,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,139.0
