Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp
2025-09-27T17:14:18.492668,14.340,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,98.156
2025-09-27T17:14:23.985973,19.833,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,8.475
2025-09-27T17:14:30.692164,26.539,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,8.475
2025-09-27T17:14:36.174693,32.022,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,121.925
2025-09-27T17:14:42.754892,38.602,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,121.925
2025-09-27T17:14:48.800685,44.648,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,-12.231
2025-09-27T17:14:55.053514,50.901,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,-12.231
2025-09-27T17:15:00.642369,56.490,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,66.74
2025-09-27T17:15:06.446455,62.294,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,66.74
2025-09-27T17:15:12.724260,68.571,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,51.205
2025-09-27T17:15:19.564828,75.412,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,51.205
2025-09-27T17:15:25.157175,81.004,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,96.169
2025-09-27T17:15:30.853302,86.701,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,96.169
2025-09-27T17:15:37.355383,93.203,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,17.331
2025-09-27T17:15:43.378333,99.226,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,17.331
2025-09-27T17:15:48.854760,104.702,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,51.003
2025-09-27T17:15:54.915141,110.762,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,51.003
2025-09-27T17:16:01.638868,117.486,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,92.557
2025-09-27T17:16:07.164660,123.012,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,92.557
2025-09-27T17:16:13.222983,129.070,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,21.522
2025-09-27T17:16:19.238350,135.086,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,21.522
2025-09-27T17:16:25.285795,141.133,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,26.198
2025-09-27T17:16:31.356539,147.204,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,26.198
2025-09-27T17:16:37.268932,153.116,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,39.553
2025-09-27T17:16:43.769202,159.616,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,39.553
2025-09-27T17:16:50.230245,166.077,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,132.133
2025-09-27T17:16:56.053250,171.900,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,132.133
2025-09-27T17:17:02.288285,178.135,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,73.098
2025-09-27T17:17:07.876417,183.724,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,73.098
2025-09-27T17:17:13.814234,189.661,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,-9.443
2025-09-27T17:17:20.381603,196.229,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,-9.443
2025-09-27T17:17:26.211413,202.059,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,63.117
2025-09-27T17:17:32.123415,207.971,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,63.117
2025-09-27T17:17:38.155469,214.003,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,9.822
2025-09-27T17:17:44.710753,220.558,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,9.822
2025-09-27T17:17:50.525193,226.372,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,29.584
2025-09-27T17:17:56.261610,232.109,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,29.584
2025-09-27T17:18:02.292919,238.140,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,115.402
2025-09-27T17:18:08.647935,244.495,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0,115.402
