Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water Temp
2025-09-27T17:12:29.462091,12.203,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:12:35.695473,18.437,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:12:41.413889,24.155,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:12:47.330619,30.072,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:12:53.860973,36.602,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:12:59.596507,42.338,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:05.465441,48.207,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:11.526311,54.268,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:17.645037,60.386,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:23.567821,66.309,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:29.839641,72.581,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
2025-09-27T17:13:36.281599,79.023,1.50,168.41,300.48,1.26,2.40,0.80,1.30,0,0.0,0
