Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-09T23:44:34.534715,4.171,25.01,587.29,25.78,3.27,3.27,3.25,3.31,0,0.0
2025-08-09T23:44:35.233330,4.870,25.01,584.94,25.76,3.28,3.26,3.27,3.29,0,0.0
2025-08-09T23:44:35.235345,4.872,25.01,583.56,25.78,3.27,3.27,3.25,3.31,0,0.0
2025-08-09T23:44:35.235345,4.872,24.98,584.94,25.76,3.25,3.29,3.25,3.29,0,0.0
2025-08-09T23:44:35.235345,4.872,24.96,580.16,25.78,3.26,3.28,3.27,3.27,0,0.0
2025-08-09T23:44:35.517572,5.154,24.98,586.18,25.78,3.26,3.28,3.27,3.29,0,0.0
2025-08-09T23:44:35.518581,5.155,25.03,584.94,25.73,3.26,3.29,3.27,3.28,0,0.0
2025-08-09T23:44:35.832441,5.469,25.01,580.16,25.73,3.25,3.29,3.25,3.31,0,0.0
2025-08-09T23:44:35.864745,5.501,25.01,586.18,25.76,3.27,3.27,3.27,3.27,0,0.0
2025-08-09T23:44:36.165402,5.802,24.98,583.56,25.78,3.27,3.27,3.27,3.28,0,0.0
2025-08-09T23:44:36.165402,5.802,24.98,584.94,25.76,3.26,3.28,3.27,3.28,0,0.0
2025-08-09T23:44:36.493958,6.130,25.01,586.18,25.76,3.27,3.27,3.28,3.27,0,0.0
2025-08-09T23:44:36.495464,6.132,24.98,581.99,25.76,3.27,3.26,3.27,3.29,0,0.0
2025-08-09T23:44:36.495975,6.132,24.76,583.56,25.76,3.27,3.27,3.25,3.29,0,0.0
2025-08-09T23:44:37.038425,6.675,25.01,588.32,25.76,3.27,3.29,3.23,3.29,0,-0.7
2025-08-09T23:44:37.043486,6.680,25.01,584.94,25.73,3.27,3.28,3.27,3.28,0,-0.7
2025-08-09T23:44:37.044449,6.681,24.98,586.18,25.76,3.27,3.27,3.27,3.28,0,-0.7
2025-08-09T23:44:37.366946,7.003,25.01,586.18,25.71,3.27,3.27,3.27,3.28,0,-0.7
2025-08-09T23:44:37.366946,7.003,25.01,583.56,25.76,3.27,3.27,3.27,3.28,0,-0.7
2025-08-09T23:44:37.376980,7.013,25.01,586.18,25.73,3.27,3.27,3.25,3.29,0,-0.7
2025-08-09T23:44:37.692938,7.329,25.01,587.29,25.71,3.27,3.27,3.28,3.29,0,-0.7
2025-08-09T23:44:37.978803,7.615,25.01,583.56,25.76,3.26,3.28,3.25,3.31,0,-0.7
2025-08-09T23:44:37.978803,7.615,25.01,586.18,25.78,3.27,3.28,3.27,3.27,0,-0.7
2025-08-09T23:44:38.347864,7.984,25.01,584.94,25.71,3.25,3.30,3.25,3.30,0,-0.7
2025-08-09T23:44:38.347864,7.984,25.01,584.94,25.76,3.28,3.27,3.25,3.31,0,-0.7
2025-08-09T23:44:38.674669,8.311,24.98,583.56,25.73,3.27,3.27,3.26,3.30,0,-0.7
2025-08-09T23:44:38.674669,8.311,24.98,589.26,25.76,3.27,3.27,3.27,3.28,0,-0.7
2025-08-09T23:44:39.340139,8.977,24.98,587.29,25.71,3.27,3.27,3.25,3.28,0,-0.7
2025-08-09T23:44:39.340139,8.977,25.01,581.99,25.78,3.26,3.28,3.25,3.30,0,-0.7
2025-08-09T23:44:39.340139,8.977,24.98,586.18,25.76,3.29,3.25,3.25,3.29,0,-0.7
2025-08-09T23:44:39.340139,8.977,25.01,580.16,25.78,3.27,3.27,3.27,3.28,0,-0.7
2025-08-09T23:44:39.672063,9.308,25.01,584.94,25.76,3.27,3.28,3.25,3.29,0,-0.7
2025-08-09T23:44:39.672063,9.308,25.01,587.29,25.76,3.27,3.27,3.25,3.29,0,-0.7
2025-08-09T23:44:40.004322,9.641,25.01,586.18,25.73,3.27,3.27,3.26,3.29,0,-0.7
2025-08-09T23:44:40.004322,9.641,24.98,586.18,25.73,3.26,3.28,3.25,3.30,0,-0.7
