Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp,Salinity
2025-10-11T15:32:12.069684,3.652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,0,0
2025-10-11T15:32:12.071129,3.654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,0,0
2025-10-11T15:32:12.866717,4.449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,0
2025-10-11T15:32:12.868035,4.451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,0
2025-10-11T15:32:12.869785,4.452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,90.0
2025-10-11T15:32:12.871031,4.454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,90.0
2025-10-11T15:32:13.532781,5.115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,90.0,90.0
2025-10-11T15:32:13.534724,5.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,90.0,90.0
2025-10-11T15:32:13.536487,5.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,90.0
2025-10-11T15:32:13.539682,5.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,90.0
2025-10-11T15:32:13.541460,5.124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T15:32:13.544349,5.127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T15:32:14.744541,6.327,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,80.0,80.0
2025-10-11T15:32:14.745802,6.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,80.0,80.0
2025-10-11T15:32:15.402561,6.985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,80.0
2025-10-11T15:32:15.404051,6.987,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,80.0
2025-10-11T15:32:15.405404,6.988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,70.0
2025-10-11T15:32:15.406633,6.989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,70.0
