Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp,Salinity
2025-10-11T16:12:12.314692,5.203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,0,0
2025-10-11T16:12:12.316245,5.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,0,0
2025-10-11T16:12:12.750774,5.639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,770.0,0
2025-10-11T16:12:12.752240,5.640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,770.0,0
2025-10-11T16:12:12.754541,5.643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,770.0,402500.0
2025-10-11T16:12:12.757018,5.645,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,10.0,770.0,402500.0
2025-10-11T16:12:13.629169,6.517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,770.0,402500.0
2025-10-11T16:12:13.631155,6.519,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,770.0,402500.0
2025-10-11T16:12:14.163645,7.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,660.0,402500.0
2025-10-11T16:12:14.165104,7.053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,660.0,402500.0
2025-10-11T16:12:14.166320,7.054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,660.0,345000.0
2025-10-11T16:12:14.167437,7.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,660.0,345000.0
2025-10-11T16:12:15.048226,7.936,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,660.0,345000.0
2025-10-11T16:12:15.049637,7.938,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,660.0,345000.0
2025-10-11T16:12:15.592217,8.480,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,550.0,345000.0
