Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp,Salinity
2025-10-11T14:46:07.710808,5.971,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,0,0
2025-10-11T14:46:07.712096,5.972,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,0,0
2025-10-11T14:46:08.275985,6.536,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,0
2025-10-11T14:46:08.277276,6.537,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,0
2025-10-11T14:46:08.278871,6.539,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,20.0
2025-10-11T14:46:08.280187,6.540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,20.0
2025-10-11T14:46:10.572004,8.832,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,20.0,20.0
2025-10-11T14:46:10.573491,8.833,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,20.0,20.0
2025-10-11T14:46:10.574749,8.835,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,10.0,20.0
2025-10-11T14:46:10.576449,8.836,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,10.0,20.0
2025-10-11T14:46:10.578219,8.838,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,10.0,10.0
2025-10-11T14:46:10.579810,8.840,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,1.0,10.0,10.0
2025-10-11T14:46:12.664097,10.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,10.0,10.0
2025-10-11T14:46:12.665577,10.925,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,10.0,10.0
2025-10-11T14:46:12.666799,10.927,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,10.0
2025-10-11T14:46:12.668264,10.928,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,10.0
2025-10-11T14:46:12.669559,10.929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,20.0
2025-10-11T14:46:12.671683,10.931,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,2.0,20.0,20.0
2025-10-11T14:46:14.852610,13.112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,20.0,20.0
2025-10-11T14:46:14.854354,13.114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,20.0,20.0
2025-10-11T14:46:14.856610,13.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,30.0,20.0
2025-10-11T14:46:14.859460,13.119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,30.0,20.0
2025-10-11T14:46:14.861189,13.121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,30.0,30.0
2025-10-11T14:46:14.863497,13.123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,3.0,30.0,30.0
2025-10-11T14:46:17.054918,15.315,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,30.0,30.0
2025-10-11T14:46:17.056394,15.316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,30.0,30.0
2025-10-11T14:46:17.057649,15.317,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,40.0,30.0
2025-10-11T14:46:17.058929,15.319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,40.0,30.0
2025-10-11T14:46:17.061304,15.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,40.0,40.0
2025-10-11T14:46:17.063161,15.323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,4.0,40.0,40.0
2025-10-11T14:46:19.257620,17.517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,40.0,40.0
2025-10-11T14:46:19.259501,17.519,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,40.0,40.0
2025-10-11T14:46:19.261179,17.521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,50.0,40.0
2025-10-11T14:46:19.262776,17.523,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,50.0,40.0
2025-10-11T14:46:19.264928,17.525,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,50.0,50.0
2025-10-11T14:46:19.266827,17.527,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,5.0,50.0,50.0
2025-10-11T14:46:21.459940,19.720,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,50.0,50.0
2025-10-11T14:46:21.461448,19.721,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,50.0,50.0
2025-10-11T14:46:21.462756,19.723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,60.0,50.0
2025-10-11T14:46:21.464167,19.724,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,60.0,50.0
2025-10-11T14:46:21.466224,19.726,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,60.0,60.0
2025-10-11T14:46:21.467793,19.728,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,6.0,60.0,60.0
2025-10-11T14:46:24.089242,22.349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,60.0,60.0
2025-10-11T14:46:24.091028,22.351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,60.0,60.0
2025-10-11T14:46:24.092687,22.352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,60.0
2025-10-11T14:46:24.095550,22.355,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,60.0
2025-10-11T14:46:24.097609,22.357,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,70.0
2025-10-11T14:46:24.100518,22.360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,70.0
2025-10-11T14:46:25.839755,24.100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,70.0,70.0
2025-10-11T14:46:25.841435,24.101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,70.0,70.0
2025-10-11T14:46:26.393126,24.653,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,70.0
2025-10-11T14:46:26.394617,24.654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,70.0
2025-10-11T14:46:26.395997,24.656,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T14:46:26.397288,24.657,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T14:46:28.581609,26.841,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,80.0,80.0
2025-10-11T14:46:28.583254,26.843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,80.0,80.0
2025-10-11T14:46:28.584607,26.844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,80.0
2025-10-11T14:46:28.586158,26.846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,80.0
2025-10-11T14:46:28.587970,26.848,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,90.0
2025-10-11T14:46:28.589838,26.850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,9.0,90.0,90.0
2025-10-11T14:46:30.542196,28.802,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,90.0,90.0
2025-10-11T14:46:30.543619,28.803,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,90.0,90.0
2025-10-11T14:46:30.545158,28.805,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,90.0
2025-10-11T14:46:30.546515,28.806,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,90.0
2025-10-11T14:46:31.094594,29.354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T14:46:31.096396,29.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,8.0,80.0,80.0
2025-10-11T14:46:32.643725,30.904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,80.0,80.0
2025-10-11T14:46:32.645146,30.905,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,80.0,80.0
2025-10-11T14:46:33.178728,31.439,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,80.0
2025-10-11T14:46:33.180183,31.440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,80.0
2025-10-11T14:46:33.181578,31.441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.0,70.0,70.0
