Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg,pH,Water_Temp,Salinity
2025-10-16T21:37:57.783424,5.855,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.88,0,0
2025-10-16T21:37:58.662622,6.734,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.88,0,784.6
2025-10-16T21:37:59.444187,7.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.88,19.776,784.6
2025-10-16T21:38:00.344202,8.416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.776,784.6
2025-10-16T21:38:01.418660,9.490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.776,783.8
2025-10-16T21:38:01.421028,9.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.78,783.8
2025-10-16T21:38:02.187842,10.259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.9,19.78,783.8
2025-10-16T21:38:03.071054,11.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.9,19.78,783.3
2025-10-16T21:38:03.073270,11.145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.9,19.783,783.3
2025-10-16T21:38:03.943615,12.015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.84,19.783,783.3
2025-10-16T21:38:04.727119,12.799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.84,19.783,781.9
2025-10-16T21:38:05.721115,13.793,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.84,19.787,781.9
2025-10-16T21:38:06.803833,14.875,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.86,19.787,781.9
2025-10-16T21:38:06.805808,14.877,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.86,19.787,782.6
2025-10-16T21:38:07.909097,15.981,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.86,19.791,782.6
2025-10-16T21:38:07.911516,15.983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.791,782.6
2025-10-16T21:38:08.990109,17.062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.791,782.5
2025-10-16T21:38:08.992813,17.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.794,782.5
2025-10-16T21:38:10.114590,18.186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.794,782.5
2025-10-16T21:38:11.196203,19.268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.794,781.3
2025-10-16T21:38:11.198560,19.270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.83,19.798,781.3
2025-10-16T21:38:12.301982,20.373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.78,19.798,781.3
2025-10-16T21:38:13.609686,21.681,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.78,19.798,781.3
2025-10-16T21:38:13.611626,21.683,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.78,19.802,781.3
2025-10-16T21:38:14.713902,22.785,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.802,781.3
2025-10-16T21:38:14.715982,22.787,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.802,779.3
2025-10-16T21:38:15.701916,23.773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.82,19.806,779.3
2025-10-16T21:38:15.704939,23.776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,7.93,19.806,779.3
